Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,44.5,-90.95,-90.0,top
C10,10uF,C_0805_2012Metric,37.0,-135.95,90.0,top
C11,0.1uF,C_0805_2012Metric,45.5,-144.45,-90.0,top
C12,0.1uF,C_0805_2012Metric,45.5,-140.85,90.0,top
C13,0.01uF,C_0805_2012Metric,98.5,-92.5,0.0,top
C14,10uF,C_0805_2012Metric,92.5,-99.5,180.0,top
C15,10uF,C_0805_2012Metric,92.5,-102.0,180.0,top
C16,33nF,C_0805_2012Metric,71.5,-91.71,90.0,top
C17,22pF,C_0805_2012Metric,87.5,-87.71,0.0,top
C18,22pF,C_0805_2012Metric,87.5,-89.71,0.0,top
C19,2.2uF,C_0805_2012Metric,78.0,-82.71,0.0,top
C2,0.1uF,C_0805_2012Metric,44.5,-87.45,90.0,top
C20,4.7pF,C_0805_2012Metric,78.0,-85.21,0.0,top
C21,1.5pF,C_0805_2012Metric,72.5,-76.21,90.0,top
C22,1pF,C_0805_2012Metric,76.0,-74.21,180.0,top
C23,10uF,C_0805_2012Metric,66.5,-82.71,180.0,top
C24,10nF,C_0805_2012Metric,66.5,-85.21,180.0,top
C25,1nF,C_0805_2012Metric,66.5,-87.71,180.0,top
C26,10uF,C_0805_2012Metric,48.0,-170.58,180.0,top
C27,10uF,C_0805_2012Metric,48.0,-173.08,180.0,top
C28,10uF,C_0805_2012Metric,47.0,-186.4371,90.0,top
C29,10uF,C_0805_2012Metric,47.0,-182.4371,90.0,top
C3,10uF,C_0805_2012Metric,38.875,-81.15,90.0,top
C30,10uF,C_0805_2012Metric,61.6364,-186.2742,90.0,top
C31,10uF,C_0805_2012Metric,61.6364,-182.3742,90.0,top
C32,10uF,C_0805_2012Metric,76.0682,-186.4871,90.0,top
C33,10uF,C_0805_2012Metric,76.0682,-182.4871,90.0,top
C34,10uF,C_0805_2012Metric,90.5682,-186.5,90.0,top
C35,10uF,C_0805_2012Metric,90.5682,-182.5,90.0,top
C36,10uF,C_0805_2012Metric,105.0,-186.5629,90.0,top
C37,10uF,C_0805_2012Metric,105.0,-182.5629,90.0,top
C4,0.1uF,C_0805_2012Metric,36.375,-81.15,90.0,top
C5,0.1uF,C_0805_2012Metric,36.0,-114.0,90.0,top
C6,10uF,C_0805_2012Metric,38.5,-113.95,90.0,top
