O_F,Pc,T_c,rho_c,Cp_c,gamma_c,a_c,mu_c,k_c,Pr_c,Cstar,CF,Isp
1,96526.64,1351.17,0.13393,2435.5,1.2997,967.9,7.0875e-05,0.53615,0.322,1275.2,0.7038,897.4
1,241316.6,1361.79,0.33333,2627,1.2887,965.9,7.1101e-05,0.55211,0.3383,1284.2,0.6971,895.2
1,386106.56,1370.81,0.53135,2780.7,1.2811,964.9,7.1288e-05,0.5651,0.3508,1290.1,0.6939,895.1
1,530896.52,1378.69,0.72828,2908.4,1.2755,964.3,7.1449e-05,0.57602,0.3608,1294.5,0.6918,895.6
1,675686.48,1385.72,0.92431,3017.3,1.2711,963.9,7.159e-05,0.58541,0.369,1298,0.6904,896.2
1,820476.44,1392.09,1.1196,3111.8,1.2675,963.8,7.1715e-05,0.59364,0.3759,1300.9,0.6894,896.8
1,965266.4,1397.91,1.3142,3195.1,1.2645,963.7,7.1829e-05,0.60094,0.3819,1303.4,0.6886,897.5
1,1110056.36,1403.29,1.5082,3269.2,1.262,963.8,7.1932e-05,0.6075,0.3871,1305.6,0.6879,898.2
1,1254846.32,1408.3,1.7017,3335.9,1.2599,963.9,7.2027e-05,0.61343,0.3917,1307.6,0.6874,898.8
1,1399636.28,1412.98,1.8948,3396.3,1.258,964,7.2114e-05,0.61884,0.3958,1309.3,0.6869,899.4
1,1544426.24,1417.38,2.0874,3451.5,1.2563,964.1,7.2196e-05,0.62381,0.3995,1311,0.6865,900
1,1689216.2,1421.54,2.2796,3502,1.2548,964.3,7.2273e-05,0.6284,0.4028,1312.4,0.6862,900.6
1,1834006.16,1425.48,2.4715,3548.7,1.2535,964.5,7.2345e-05,0.63265,0.4058,1313.8,0.6859,901.1
1,1978796.12,1429.23,2.663,3591.9,1.2523,964.6,7.2412e-05,0.63661,0.4086,1315.1,0.6856,901.6
1,2123586.08,1432.81,2.8542,3632.1,1.2512,964.8,7.2476e-05,0.64031,0.4111,1316.2,0.6854,902.1
1,2268376.04,1436.23,3.0452,3669.5,1.2502,965,7.2537e-05,0.64378,0.4135,1317.4,0.6851,902.6
1,2413166,1439.51,3.2358,3704.6,1.2492,965.2,7.2595e-05,0.64705,0.4156,1318.4,0.6849,903
1,2557955.96,1442.66,3.4262,3737.6,1.2484,965.4,7.2651e-05,0.65013,0.4177,1319.4,0.6848,903.5
1,2702745.92,1445.69,3.6164,3768.5,1.2476,965.6,7.2704e-05,0.65304,0.4196,1320.3,0.6846,903.9
1,2847535.88,1448.61,3.8063,3797.8,1.2468,965.8,7.2754e-05,0.6558,0.4213,1321.2,0.6844,904.3
1,2992325.84,1451.43,3.996,3825.4,1.2461,966,7.2803e-05,0.65841,0.423,1322.1,0.6843,904.7
1,3137115.8,1454.16,4.1855,3851.6,1.2454,966.2,7.2849e-05,0.66091,0.4245,1322.9,0.6842,905
1,3281905.76,1456.8,4.3748,3876.4,1.2448,966.4,7.2894e-05,0.66328,0.426,1323.6,0.684,905.4
1,3426695.72,1459.36,4.5639,3900,1.2442,966.5,7.2938e-05,0.66554,0.4274,1324.4,0.6839,905.8
1,3571485.68,1461.84,4.7529,3922.5,1.2437,966.7,7.298e-05,0.66771,0.4287,1325.1,0.6838,906.1
1.25,96526.64,1422.78,0.13132,2222.1,1.3119,982,7.1346e-05,0.49182,0.3223,1281.2,0.7113,911.3
